Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
BostonCollege,-9.2,4.1,-0.3,2.0,-107.8,-0.5,4
Clemson,18.8,7.9,13.6,3.1,25.2,0.0,5
FloridaState,48.7,23.7,39.6,-4.3,188.8,-0.6,5
Maryland,-6.7,5.0,-0.8,-6.9,10.8,0.0,4
NorthCarolinaState,9.4,3.0,8.8,-3.5,49.0,0.0,5
WakeForest,-15.2,7.2,-8.6,4.4,-103.4,-0.6,5
Duke,-1.6,0.8,10.2,-10.5,-5.8,-0.2,5
GeorgiaTech,19.5,13.0,12.4,-5.1,174.2,-0.6,5
MiamiFL,1.4,1.5,2.2,5.2,-81.4,0.2,5
NorthCarolina,21.1,6.1,28.6,-13.2,77.0,-0.2,5
Virginia,-8.5,4.6,-7.4,4.4,-55.6,-0.2,5
VirginiaTech,7.9,2.5,10.8,0.5,-22.6,-0.4,5
Illinois,-5.9,1.8,-5.2,0.4,14.8,-0.6,5
Indiana,-7.4,5.6,7.3,-13.4,-14.5,0.0,4
OhioState,23.9,8.0,16.6,-0.6,123.4,-0.6,5
PennState,7.4,0.3,11.0,-3.3,6.0,-0.2,5
Purdue,16.1,9.0,21.8,-11.7,96.3,-0.5,4
Wisconsin,10.1,1.2,2.4,7.8,9.2,-0.2,5
Iowa,-3.1,5.0,5.2,-9.3,50.0,-0.8,5
Michigan,18.5,5.6,5.5,13.8,2.5,-0.3,4
MichiganState,8.6,3.5,7.2,-0.3,49.6,-0.6,5
Minnesota,-4.9,0.0,6.8,-13.2,28.2,-0.2,5
Nebraska,37.2,17.0,24.2,2.6,153.0,-0.6,5
Northwestern,17.5,6.8,13.2,-7.2,165.8,-0.6,5
Baylor,12.4,3.8,14.5,-3.2,14.0,0.0,4
IowaState,19.5,5.0,10.3,6.1,61.8,-0.5,4
Kansas,-14.7,6.8,-2.0,-10.1,-7.3,-0.5,4
KansasState,36.2,16.4,25.0,0.7,149.0,-0.5,4
Oklahoma,25.4,10.2,22.7,-0.4,53.3,-0.3,3
OklahomaState,53.5,23.4,24.8,15.8,178.8,-0.5,4
TCU,15.8,7.4,24.5,-14.5,69.8,0.0,4
Texas,45.0,17.0,26.3,14.7,48.0,0.0,4
TexasTech,39.7,17.9,33.0,-1.9,102.8,0.0,4
WestVirginia,11.8,2.6,20.5,-8.7,35.8,-0.8,4
Cincinnati,12.4,6.1,14.3,-5.2,71.3,-0.7,3
Connecticut,-0.5,1.9,7.6,-10.5,37.8,-0.2,5
Louisville,14.5,6.8,12.4,-1.4,51.0,-0.2,5
Pittsburgh,6.0,2.3,6.3,-2.3,49.0,-0.5,4
Rutgers,4.0,0.1,14.3,-19.9,91.8,0.5,4
SouthFlorida,4.5,1.9,-1.0,8.1,-21.0,-0.2,5
Syracuse,-5.5,2.1,-2.5,0.6,-30.5,-0.3,4
Temple,-9.2,6.4,3.7,-9.6,-22.7,-0.3,3
EastCarolina,1.6,1.8,-3.4,4.5,-4.0,0.2,5
Marshall,-11.0,6.7,-3.4,-3.1,-63.8,0.2,5
Memphis,-25.3,13.2,-12.5,-4.1,-92.3,-0.3,4
SouthernMiss,-2.2,4.7,-17.0,19.6,-56.3,0.0,4
UAB,-7.6,4.2,-18.5,23.0,-145.0,0.0,4
UCF,17.2,8.1,8.8,7.6,10.3,0.0,4
Houston,-13.7,9.6,-8.5,-0.2,-47.5,-0.3,4
Rice,-22.8,7.0,-13.4,-1.5,-94.8,0.0,5
SouthernMethodist,-5.2,5.1,-9.0,10.5,-55.3,-0.5,4
Tulane,-46.6,20.3,-34.8,11.5,-255.3,-0.5,4
Tulsa,17.2,5.8,15.6,-9.3,140.2,-0.2,5
UTEP,-7.8,6.0,-8.6,7.2,-85.6,0.2,5
Army,-16.5,3.3,-17.0,-10.0,125.0,0.0,4
BrighamYoung,19.6,2.0,19.8,-10.7,134.6,-0.2,5
Navy,-2.0,1.3,-10.3,3.5,69.0,-0.3,4
NotreDame,28.4,12.3,16.8,10.3,27.8,-0.3,4
Akron,-14.1,3.7,-2.6,-5.4,-62.6,-0.2,5
BowlingGreen,-5.6,6.2,-2.8,-3.1,-6.6,0.2,5
Buffalo,-3.2,2.5,-5.8,2.2,3.5,0.0,4
KentState,-2.3,3.0,1.3,-6.6,35.8,0.0,4
Massachusetts,-40.0,24.7,-28.0,-1.6,-134.6,0.2,5
MiamiOH,-27.7,19.1,-7.8,-10.3,-124.2,0.2,5
Ohio,9.2,5.2,15.4,-17.8,130.0,0.2,5
BallState,-1.6,2.1,-2.0,-4.2,45.4,0.2,5
CentralMichigan,-27.5,10.1,-13.3,-7.0,-86.5,0.0,4
EasternMichigan,-34.7,15.8,-20.5,-1.6,-174.5,0.5,4
NorthernIllinois,-4.0,5.0,13.2,-18.3,32.6,-0.4,5
Toledo,1.3,3.3,7.6,-8.4,16.0,0.2,5
WesternMichigan,-11.8,2.2,-1.0,-7.9,-25.4,-0.2,5
AirForce,16.9,5.4,10.0,-13.5,244.3,0.0,4
BoiseState,8.3,0.9,6.8,3.3,-20.0,0.0,4
ColoradoState,-27.0,13.7,-12.6,-4.8,-114.6,0.0,5
FresnoState,17.9,7.6,15.2,3.0,6.2,-0.2,5
Hawaii,-21.5,5.2,-19.8,7.0,-104.0,0.0,4
Nevada,18.8,7.1,15.0,-10.1,156.4,0.2,5
NewMexico,12.6,3.9,-5.0,9.5,86.8,0.2,5
SanDiegoState,8.9,3.2,3.6,-2.9,107.8,-0.2,5
UNLV,-16.0,9.4,-6.6,-5.4,-20.0,-0.6,5
Wyoming,-21.8,11.2,-5.5,-5.1,-133.0,0.0,4
California,6.4,0.7,-4.6,12.0,-2.4,-0.2,5
Oregon,47.0,22.5,32.6,1.5,192.4,-0.8,5
OregonState,29.4,10.0,4.3,20.1,43.7,0.3,3
Stanford,22.0,13.8,10.8,7.8,64.5,-0.5,4
Washington,6.0,0.8,3.5,6.9,-28.8,-0.5,4
WashingtonState,-18.8,13.5,-7.6,-1.5,-116.0,0.0,5
Arizona,26.6,11.7,6.4,20.3,27.6,-0.6,5
ArizonaState,27.6,13.9,24.8,0.7,34.0,-0.2,5
Colorado,-28.6,15.9,-17.8,-6.8,-47.6,0.0,5
UCLA,23.4,10.7,16.6,0.3,87.8,-0.2,5
USC,19.1,10.2,15.8,0.3,48.3,-0.3,4
Utah,8.0,1.6,1.8,6.8,-6.3,0.0,4
Florida,42.3,16.5,17.8,15.8,105.3,0.0,4
Georgia,41.4,18.6,26.2,9.1,101.0,-0.6,5
Kentucky,8.2,1.6,-9.0,24.1,-73.2,-0.2,5
Missouri,24.7,11.1,3.8,19.5,26.2,-0.2,5
SouthCarolina,41.0,17.5,25.4,8.6,94.2,-0.2,5
Tennessee,17.3,5.5,9.8,9.9,-8.8,-0.4,5
Vanderbilt,16.0,6.4,-0.3,17.6,-16.5,0.0,4
Alabama,50.0,21.0,33.2,8.2,122.4,-0.4,5
Arkansas,-8.0,5.8,-17.4,15.5,-54.2,-0.4,5
Auburn,7.2,3.4,-6.0,18.8,-55.3,-0.3,4
LSU,26.4,17.7,26.4,-9.6,143.6,-0.6,5
MississippiState,20.0,8.5,22.8,-4.7,47.8,-0.5,4
OleMiss,14.6,3.1,5.0,2.2,98.6,-0.2,5
TexasAM,43.1,17.2,36.5,-0.1,104.5,-0.5,4
ArkansasState,11.2,6.1,-0.8,10.8,14.2,0.0,5
FloridaAtlantic,-9.3,8.5,-17.0,14.2,-86.2,0.2,5
FloridaInternational,-4.3,0.4,-13.0,7.4,5.8,0.2,5
LouisianaLafayette,21.0,6.8,10.0,7.4,43.8,0.0,4
LouisianaMonroe,10.0,0.3,12.0,-8.8,69.0,0.3,4
MiddleTennessee,3.4,7.4,11.8,-11.2,34.3,0.0,4
NorthTexas,5.6,4.8,-3.0,6.7,12.6,0.2,5
SouthAlabama,-6.4,1.9,-12.2,8.3,-19.8,-0.2,5
Troy,9.8,2.9,3.8,6.5,-15.4,0.2,5
WesternKentucky,24.9,7.6,8.6,7.5,95.6,0.2,5
Idaho,-37.2,14.4,-28.6,-1.9,-89.6,0.2,5
