Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
stanford,69.70008249973391,16.284235698196575,13.25,49.20728802171105,92.5,-0.125,8
oregon,92.50813905741462,21.89675440663959,38.75,37.96464562872994,200.625,-0.25,8
washington,63.9874493610905,15.202358254149027,10.875,51.18050802488577,41.0,-0.375,8
oregon-state,38.373415109727745,13.248728992064118,9.444444444444445,36.10708862575001,-80.44444444444444,-0.1111111111111111,9
washington-state,34.84990403237223,13.482083846334858,-2.888888888888889,48.787969906115336,-132.0,0.0,9
california,26.6814468236608,10.930001180113893,-19.333333333333332,53.80276738552008,-77.11111111111111,-0.3333333333333333,9
arizona-state,72.88145502122434,16.579499101401055,20.625,48.39927830129502,64.0,-0.375,8
ucla,58.36804659514044,13.86711208424507,14.75,41.598642089385834,24.125,0.0,8
southern-california,61.30434480385487,14.705328314401672,6.666666666666667,48.869285691159035,74.22222222222223,-0.1111111111111111,9
arizona,62.45228521338811,15.275187088209824,15.0,36.84703476632734,114.75,0.25,8
utah,61.17047471765933,15.159528797350186,5.375,54.012253999883555,33.25,-0.25,8
colorado,26.36876338244579,12.981901526292004,-18.142857142857142,52.06906625520323,-90.28571428571429,0.0,7
missouri,74.82265802358322,17.387488672817405,20.0,45.46023922511321,127.77777777777777,-0.3333333333333333,9
south-carolina,64.73503246841247,15.006193907505033,10.0,49.64956166416813,55.44444444444444,0.1111111111111111,9
georgia,64.01451593994643,14.41691451008455,2.75,57.58968486328276,49.875,-0.125,8
vanderbilt,41.30971727695791,11.018297981276072,1.875,42.19254088818472,-21.0,-0.25,8
florida,62.531701820084784,14.588806910651812,3.875,53.82492220670443,51.75,0.125,8
tennessee,49.94584297002602,12.486552645778088,-4.333333333333333,56.41633978083701,-20.22222222222222,-0.1111111111111111,9
kentucky,36.3346112870927,12.132063668295705,-3.25,44.04570701314738,-35.375,-0.375,8
auburn,69.72550677377782,19.129482889763114,16.666666666666668,41.110839488953054,158.66666666666666,-0.3333333333333333,9
alabama,78.3913691314556,18.206071905920236,31.5,39.277890766107085,108.875,-0.375,8
louisiana-state,63.515460160512234,14.620121354902308,18.333333333333332,41.70900897709757,52.111111111111114,-0.2222222222222222,9
texas-am,56.53693040203975,13.360800966045057,19.22222222222222,38.70917219357846,9.88888888888889,-0.5555555555555556,9
mississippi,54.45911890271723,13.465538972974123,6.875,45.491471746494824,25.0,0.0,8
mississippi-state,52.10922175772417,13.38589162117333,4.125,45.257074502154936,50.5,-0.375,8
arkansas,35.56947668305398,9.795986759177897,-11.11111111111111,45.29813015142315,32.44444444444444,-0.3333333333333333,9
baylor,85.34699276546043,19.7079345953309,48.0,25.465050956175524,162.42857142857142,-0.42857142857142855,7
oklahoma,51.20280669326518,12.805871865437775,12.25,32.14499748306228,99.25,-0.375,8
oklahoma-state,57.555947496721124,14.065228539358866,19.125,33.12832227319074,57.375,0.125,8
texas,46.53545116157134,14.656860315465705,10.125,36.209414364236856,8.375,-0.125,8
kansas-state,47.607678859715435,14.709521354087157,10.125,36.123980173978495,40.125,-0.5,8
texas-tech,40.45868341897674,10.458740329625012,14.555555555555555,29.174971132272763,-33.77777777777778,-0.1111111111111111,9
texas-christian,35.313865797269266,9.72159297307833,-0.1111111111111111,36.89980700101154,-7.0,-0.2222222222222222,9
west-virginia,30.220753506504753,9.07642915319337,-6.333333333333333,39.065263427304956,-30.0,0.0,9
iowa-state,19.698368094320838,11.526777396287539,-16.75,43.69939049063142,-86.625,0.0,8
kansas,17.608603600462704,9.470039910006285,-14.875,39.47903770303985,-71.625,-0.25,8
ohio-state,82.78338705722412,19.459935152070035,31.22222222222222,35.074445051348135,212.88888888888889,-0.3333333333333333,9
wisconsin,76.70819810285846,17.437040771102946,23.375,36.87452821916933,196.625,0.0,8
penn-state,40.17779040727266,9.699511141828822,2.0,38.53729770713147,13.625,-0.375,8
indiana,42.56931771803533,12.304481564711395,4.25,44.180251721265634,-46.125,-0.5,8
illinois,27.648510760204847,10.62953964076125,-3.5,40.171577286824345,-89.875,-0.375,8
purdue,11.532972976270774,10.496047002735683,-25.625,50.02328235205172,-141.75,-0.25,8
michigan-state,57.03415786198778,14.35298803300113,18.22222222222222,27.803301078400608,147.44444444444446,-0.3333333333333333,9
nebraska,45.35557070374898,11.215550814827935,14.25,26.492805690086232,79.0,-0.5,8
iowa,49.98260790397144,13.916546276615371,6.111111111111111,41.726385519850666,41.55555555555556,-0.3333333333333333,9
minnesota,43.068322020271594,12.861073055006578,6.555555555555555,30.353746549525383,78.88888888888889,-0.1111111111111111,9
