Division,Score
Big 12 Conference - South,44.9
Southeastern Conference - East,33.5
Big Ten Conference,30.9
Atlantic Coast Conference - Atlantic,29.9
Big East Conference,28.8
Southeastern Conference - West,28.6
Pacific-10 Conference,28.4
Atlantic Coast Conference - Coastal,27.7
Mountain West Conference,26.4
Big 12 Conference - North,23.9
Mid-American Conference - West,21.1
Independent,18.5
Western Athletic Conference,17.5
Conference USA - West,17.3
Conference USA - East,16.9
Mid-American Conference - East,14.4
Sun Belt Conference,13.8
FCS,0.3
