Conference,Score
Big 12 Conference,32.5
Southeastern Conference,31.6
Big Ten Conference,29.3
Pacific-10 Conference,28.5
Big East Conference,27.9
Atlantic Coast Conference,27.9
Mountain West Conference,25.6
Independent,17.9
Conference USA,17.4
Western Athletic Conference,16.3
Mid-American Conference,15.5
Sun Belt Conference,13.6
FCS,0.2
