Division,Score
Big 12 Conference - South,45.7
Southeastern Conference - East,34.7
Big Ten Conference,32.1
Southeastern Conference - West,29.4
Atlantic Coast Conference - Coastal,29.0
Atlantic Coast Conference - Atlantic,28.3
Big East Conference,28.0
Pacific-10 Conference,27.6
Mountain West Conference,26.6
Big 12 Conference - North,25.4
Mid-American Conference - West,23.7
Independent,20.0
Western Athletic Conference,18.8
Conference USA - West,18.7
Conference USA - East,15.8
Mid-American Conference - East,14.7
Sun Belt Conference,13.7
FCS,0.3
