Division,Score
Big 12 Conference - South,38.2
Southeastern Conference - East,36.5
Big 12 Conference - North,33.8
Southeastern Conference - West,33.3
Big Ten Conference,32.4
Atlantic Coast Conference - Atlantic,28.5
Mountain West Conference,28.5
Pacific-10 Conference,28.0
Big East Conference,24.0
Atlantic Coast Conference - Coastal,23.0
Conference USA - East,19.8
Sun Belt Conference,17.0
Mid-American Conference - West,16.4
Western Athletic Conference,15.0
Independent,14.8
Conference USA - West,13.8
Mid-American Conference - East,10.4
FCS,0.4
