Division,Score
Big 12 Conference - South,44.1
Southeastern Conference - East,33.4
Big Ten Conference,31.2
Atlantic Coast Conference - Atlantic,30.0
Southeastern Conference - West,29.2
Big East Conference,28.2
Pacific-10 Conference,27.8
Atlantic Coast Conference - Coastal,27.7
Mountain West Conference,26.0
Big 12 Conference - North,24.7
Mid-American Conference - West,22.6
Independent,18.8
Western Athletic Conference,18.3
Conference USA - West,17.9
Conference USA - East,16.7
Mid-American Conference - East,14.2
Sun Belt Conference,13.7
FCS,0.3
