Division,Score
Big 12 Conference - South,44.3
Southeastern Conference - East,36.7
Big Ten Conference,32.5
Atlantic Coast Conference - Atlantic,31.0
Atlantic Coast Conference - Coastal,30.3
Southeastern Conference - West,29.8
Big 12 Conference - North,29.4
Pacific-10 Conference,28.3
Big East Conference,28.0
Mountain West Conference,27.1
Mid-American Conference - West,22.2
Independent,21.8
Conference USA - West,19.1
Western Athletic Conference,18.5
Sun Belt Conference,14.9
Conference USA - East,14.2
Mid-American Conference - East,11.4
FCS,0.4
