Division,Score
Pacific-10 Conference,28.5
Southeastern Conference - West,26.3
Southeastern Conference - East,25.9
Big 12 Conference - South,24.9
Big East Conference,24.9
Big 12 Conference - North,24.0
Big Ten Conference,22.4
Atlantic Coast Conference - Atlantic,21.4
Mountain West Conference,20.9
Atlantic Coast Conference - Coastal,19.3
Independent,16.7
Western Athletic Conference,15.0
Conference USA - East,14.4
Conference USA - West,12.9
Sun Belt Conference,9.6
Mid-American Conference - West,9.1
Mid-American Conference - East,6.7
FCS,2.7
