Conference,Score
Big 12 Conference,36.2
Southeastern Conference,33.1
Big Ten Conference,32.3
Atlantic Coast Conference,29.4
Big East Conference,29.3
Pacific-10 Conference,28.4
Mountain West Conference,27.0
Western Athletic Conference,19.5
Mid-American Conference,19.4
Independent,19.2
Conference USA,18.1
Sun Belt Conference,14.6
FCS,0.4
