Conference,Score
Big 12 Conference,38.9
Southeastern Conference,36.0
Big Ten Conference,34.4
Atlantic Coast Conference,30.3
Pacific-10 Conference,29.0
Big East Conference,29.0
Mountain West Conference,27.9
Independent,21.0
Conference USA,19.2
Western Athletic Conference,18.3
Mid-American Conference,16.3
Sun Belt Conference,14.9
FCS,0.4
