Division,Score
Big 12 Conference - South,44.4
Southeastern Conference - East,37.6
Big Ten Conference,33.4
Big 12 Conference - North,31.5
Atlantic Coast Conference - Atlantic,31.2
Southeastern Conference - West,31.0
Atlantic Coast Conference - Coastal,29.2
Pacific-10 Conference,28.0
Big East Conference,27.6
Mountain West Conference,27.1
Independent,22.4
Mid-American Conference - West,21.2
Conference USA - West,18.9
Western Athletic Conference,18.3
Conference USA - East,16.4
Sun Belt Conference,14.5
Mid-American Conference - East,11.8
FCS,0.4
