Division,Score
Big 12 Conference - South,40.3
Southeastern Conference - East,38.6
Big Ten Conference,33.9
Atlantic Coast Conference - Atlantic,33.5
Big 12 Conference - North,32.7
Southeastern Conference - West,31.7
Mountain West Conference,28.6
Pacific-10 Conference,28.2
Big East Conference,25.6
Atlantic Coast Conference - Coastal,25.6
Mid-American Conference - West,19.7
Conference USA - East,19.0
Independent,17.1
Western Athletic Conference,16.4
Sun Belt Conference,15.8
Conference USA - West,15.7
Mid-American Conference - East,10.5
FCS,0.3
