Division,Score
Big 12 Conference - South,44.6
Southeastern Conference - East,38.2
Big Ten Conference,34.4
Southeastern Conference - West,33.8
Big 12 Conference - North,33.2
Atlantic Coast Conference - Atlantic,33.0
Pacific-10 Conference,29.0
Big East Conference,29.0
Mountain West Conference,27.9
Atlantic Coast Conference - Coastal,27.7
Independent,21.0
Mid-American Conference - West,21.0
Conference USA - West,20.3
Western Athletic Conference,18.3
Conference USA - East,18.0
Sun Belt Conference,14.9
Mid-American Conference - East,12.2
FCS,0.4
