Division,Score
Southeastern Conference - East,37.7
Big 12 Conference - South,36.6
Pacific-10 Conference,34.9
Big Ten Conference,34.3
Big 12 Conference - North,34.1
Southeastern Conference - West,32.9
Mountain West Conference,25.9
Atlantic Coast Conference - Atlantic,25.5
Big East Conference,24.6
Atlantic Coast Conference - Coastal,23.1
Conference USA - East,19.5
Western Athletic Conference,19.1
Independent,17.4
Conference USA - West,16.7
Mid-American Conference - West,15.9
Sun Belt Conference,15.7
Mid-American Conference - East,11.0
FCS,0.6
