Division,Score
Big 12 Conference - South,44.9
Southeastern Conference - East,33.6
Big Ten Conference,31.3
Atlantic Coast Conference - Atlantic,29.4
Big East Conference,28.7
Southeastern Conference - West,28.7
Pacific-10 Conference,28.3
Atlantic Coast Conference - Coastal,28.1
Mountain West Conference,26.2
Big 12 Conference - North,24.0
Mid-American Conference - West,21.9
Western Athletic Conference,18.2
Independent,18.1
Conference USA - West,17.3
Conference USA - East,16.9
Mid-American Conference - East,14.5
Sun Belt Conference,13.7
FCS,0.3
