Conference,Score
Big 12 Conference,36.6
Big Ten Conference,33.4
Southeastern Conference,31.9
Atlantic Coast Conference,29.5
Big East Conference,28.5
Pacific-10 Conference,27.1
Mountain West Conference,26.3
Independent,22.4
Mid-American Conference,18.5
Conference USA,17.8
Western Athletic Conference,17.8
Sun Belt Conference,16.2
FCS,0.3
