Division,Score
Big 12 Conference - South,41.4
Southeastern Conference - East,34.2
Big Ten Conference,29.3
Atlantic Coast Conference - Atlantic,29.0
Southeastern Conference - West,29.0
Pacific-10 Conference,28.5
Big East Conference,27.9
Atlantic Coast Conference - Coastal,26.8
Mountain West Conference,25.6
Big 12 Conference - North,23.7
Mid-American Conference - West,18.4
Conference USA - West,18.2
Independent,17.9
Conference USA - East,16.5
Western Athletic Conference,16.3
Sun Belt Conference,13.6
Mid-American Conference - East,13.0
FCS,0.2
