Division,Score
Big 12 Conference - South,46.2
Southeastern Conference - East,35.7
Big Ten Conference,32.3
Atlantic Coast Conference - Atlantic,30.4
Southeastern Conference - West,30.4
Big East Conference,29.3
Atlantic Coast Conference - Coastal,28.5
Pacific-10 Conference,28.4
Mountain West Conference,27.0
Big 12 Conference - North,26.2
Mid-American Conference - West,25.1
Conference USA - West,19.9
Western Athletic Conference,19.5
Independent,19.2
Conference USA - East,16.2
Mid-American Conference - East,14.6
Sun Belt Conference,14.6
FCS,0.4
