Division,Score
Big 12 Conference - South,46.5
Southeastern Conference - East,35.5
Big Ten Conference,33.4
Atlantic Coast Conference - Coastal,31.0
Big East Conference,28.5
Southeastern Conference - West,28.3
Atlantic Coast Conference - Atlantic,28.1
Pacific-10 Conference,27.1
Big 12 Conference - North,26.8
Mountain West Conference,26.3
Mid-American Conference - West,24.3
Independent,22.4
Conference USA - West,21.5
Western Athletic Conference,17.8
Sun Belt Conference,16.2
Conference USA - East,14.1
Mid-American Conference - East,13.6
FCS,0.3
