Division,Score
Big 12 Conference - South,47.0
Southeastern Conference - East,36.8
Big Ten Conference,34.1
Atlantic Coast Conference - Coastal,32.1
Southeastern Conference - West,31.0
Big East Conference,29.4
Atlantic Coast Conference - Atlantic,28.3
Pacific-10 Conference,28.0
Mountain West Conference,27.1
Big 12 Conference - North,26.9
Mid-American Conference - West,25.2
Independent,22.3
Conference USA - West,20.2
Western Athletic Conference,18.7
Sun Belt Conference,16.3
Conference USA - East,15.9
Mid-American Conference - East,14.6
FCS,0.4
