Conference,Score
Big 12 Conference,36.0
Southeastern Conference,34.9
Big Ten Conference,32.4
Mountain West Conference,28.5
Pacific-10 Conference,28.0
Atlantic Coast Conference,25.8
Big East Conference,24.0
Sun Belt Conference,17.0
Conference USA,16.8
Western Athletic Conference,15.0
Independent,14.8
Mid-American Conference,13.2
FCS,0.4
