Division,Score
Big 12 Conference - South,46.4
Southeastern Conference - East,38.1
Big Ten Conference,33.5
Atlantic Coast Conference - Coastal,31.3
Southeastern Conference - West,31.1
Atlantic Coast Conference - Atlantic,30.9
Big East Conference,30.1
Pacific-10 Conference,29.7
Big 12 Conference - North,29.1
Mountain West Conference,28.2
Mid-American Conference - West,23.0
Conference USA - West,21.3
Independent,20.2
Western Athletic Conference,19.9
Sun Belt Conference,16.0
Conference USA - East,14.9
Mid-American Conference - East,12.6
FCS,0.5
