Division,Score
Southeastern Conference - East,32.2
Pacific-10 Conference,31.7
Big 12 Conference - North,29.7
Southeastern Conference - West,28.3
Big 12 Conference - South,27.8
Big Ten Conference,25.4
Big East Conference,23.0
Mountain West Conference,21.5
Atlantic Coast Conference - Atlantic,20.6
Atlantic Coast Conference - Coastal,20.1
Conference USA - East,18.7
Western Athletic Conference,17.4
Independent,15.7
Mid-American Conference - West,14.7
Conference USA - West,14.7
Sun Belt Conference,10.5
Mid-American Conference - East,9.5
FCS,0.7
