Division,Score
Big 12 Conference - South,44.8
Southeastern Conference - East,33.5
Big Ten Conference,31.3
Atlantic Coast Conference - Atlantic,29.1
Southeastern Conference - West,28.6
Big East Conference,28.3
Pacific-10 Conference,28.2
Atlantic Coast Conference - Coastal,28.0
Mountain West Conference,26.1
Big 12 Conference - North,23.8
Mid-American Conference - West,21.9
Independent,19.1
Western Athletic Conference,18.4
Conference USA - West,17.3
Conference USA - East,16.9
Mid-American Conference - East,14.5
Sun Belt Conference,13.9
FCS,0.3
