Division,Score
Big 12 Conference - South,42.5
Southeastern Conference - East,33.9
Big Ten Conference,29.7
Atlantic Coast Conference - Atlantic,29.1
Southeastern Conference - West,28.9
Pacific-10 Conference,28.7
Big East Conference,28.2
Atlantic Coast Conference - Coastal,26.9
Mountain West Conference,25.8
Big 12 Conference - North,24.0
Mid-American Conference - West,20.0
Independent,18.2
Conference USA - West,17.4
Western Athletic Conference,16.5
Conference USA - East,16.4
Sun Belt Conference,13.6
Mid-American Conference - East,13.4
FCS,0.3
