Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
missouri,5,6,1,57.9,23.7,8.6
nebraska,42,31,-11,31.2,-3.4,3.5
kansas,33,37,4,36.8,5.5,4.1
colorado,56,52,-4,27.2,-9.8,7.8
kansas-state,49,49,0,28.9,-7.2,3.9
iowa-state,81,80,-1,17.5,-18.5,6.9
oklahoma,2,2,0,64.1,32.1,12.0
texas,3,9,6,59.7,26.2,7.6
texas-tech,14,19,5,46.5,8.7,4.5
oklahoma-state,6,12,6,57.0,22.6,6.3
baylor,65,56,-9,23.8,-5.8,11.9
texas-am,86,76,-10,16.1,-21.1,4.8
florida,13,4,-9,46.8,21.5,12.1
georgia,21,10,-11,42.9,10.9,4.8
south-carolina,64,68,4,24.2,-9.8,3.4
vanderbilt,22,25,3,42.8,3.7,1.5
tennessee,75,63,-12,20.8,2.0,5.1
kentucky,8,18,10,51.5,15.3,4.0
alabama,4,7,3,58.0,21.2,7.5
mississippi,43,58,15,30.7,1.9,4.7
louisiana-state,12,11,-1,47.1,9.4,5.6
arkansas,89,83,-6,14.4,-24.7,8.0
auburn,29,30,1,39.4,5.8,6.8
mississippi-state,94,93,-1,13.0,-14.5,5.8
florida-state,15,20,5,45.6,19.6,12.9
boston-college,32,39,7,37.1,6.0,2.1
maryland,36,41,5,34.2,-2.2,7.5
wake-forest,31,15,-16,37.4,6.4,4.9
clemson,39,33,-6,32.7,5.5,6.9
north-carolina-state,100,91,-9,10.9,-28.9,12.6
virginia-tech,34,47,13,36.4,1.1,1.6
georgia-tech,24,24,0,41.6,13.2,3.8
north-carolina,53,64,11,28.3,-8.1,9.7
miami-fl,58,38,-20,26.5,-0.4,2.2
virginia,110,101,-9,8.2,-31.5,10.3
duke,62,72,10,24.8,-13.7,8.6
penn-state,1,1,0,64.5,29.5,10.7
ohio-state,25,26,1,41.3,8.6,7.0
michigan-state,23,34,11,41.8,9.3,6.9
iowa,48,40,-8,29.0,-1.1,1.3
northwestern,38,50,12,33.5,-10.3,6.7
minnesota,46,46,0,29.5,-9.1,10.3
wisconsin,28,14,-14,39.5,9.8,5.2
illinois,54,51,-3,28.3,3.2,2.8
purdue,77,61,-16,19.6,-14.2,4.0
michigan,63,74,11,24.6,-4.1,4.3
indiana,57,43,-14,26.9,0.3,7.7
