Division,Score
Big 12 Conference - South,44.6
Southeastern Conference - East,33.8
Big Ten Conference,31.6
Atlantic Coast Conference - Coastal,29.5
Southeastern Conference - West,28.3
Big East Conference,27.8
Atlantic Coast Conference - Atlantic,27.3
Pacific-10 Conference,26.8
Mountain West Conference,26.0
Big 12 Conference - North,25.4
Mid-American Conference - West,23.4
Independent,20.3
Conference USA - West,19.0
Western Athletic Conference,17.8
Conference USA - East,15.1
Mid-American Conference - East,14.4
Sun Belt Conference,14.3
FCS,0.2
