Conference,Score
Southeastern Conference,40.0
Big Ten Conference,31.4
Big 12 Conference,31.0
Atlantic Coast Conference,29.8
Pac-12 Conference,23.6
American Athletic Conference,22.6
Independent,22.0
Mountain West Conference,21.0
Sun Belt Conference,19.7
Mid-American Conference,16.9
Conference USA,16.0
FCS,0.3
