Division,Score
Atlantic Coast Conference - Atlantic,34.3
Big Ten Conference - East,33.9
Southeastern Conference - West,32.0
Big Ten Conference - West,30.0
Atlantic Coast Conference - Coastal,29.4
Big 12 Conference,28.5
American Athletic Conference - West,26.6
Pac-12 Conference - North,26.5
Independent,26.5
Southeastern Conference - East,25.9
Pac-12 Conference - South,25.4
Mountain West Conference - Mountain,23.7
American Athletic Conference - East,20.5
Mid-American Conference - West,20.0
Mountain West Conference - West,19.6
Sun Belt Conference - East,17.9
Mid-American Conference - East,17.0
Conference USA - East,16.6
Conference USA - West,15.9
Sun Belt Conference - West,12.4
FCS,0.0
