Division,Score
Southeastern Conference - West,40.9
Southeastern Conference - East,40.1
Big Ten Conference - East,34.1
Atlantic Coast Conference - Atlantic,33.1
Big 12 Conference,28.4
Atlantic Coast Conference - Coastal,26.6
Pac-12 Conference - North,26.5
Sun Belt Conference - East,26.3
Big Ten Conference - West,26.2
American Athletic Conference - East,26.0
Independent,25.1
Mountain West Conference - Mountain,23.7
Pac-12 Conference - South,21.2
American Athletic Conference - West,20.2
Mountain West Conference - West,19.6
Mid-American Conference - West,18.1
Mid-American Conference - East,17.4
Conference USA - East,17.3
Conference USA - West,16.3
Sun Belt Conference - West,14.1
FCS,0.4
