Division,Score
Southeastern Conference - West,40.9
Southeastern Conference - East,37.0
Big Ten Conference - East,35.0
Atlantic Coast Conference - Atlantic,31.8
Big 12 Conference,30.3
Atlantic Coast Conference - Coastal,26.4
Sun Belt Conference - East,26.1
Big Ten Conference - West,26.0
American Athletic Conference - East,24.7
Pac-12 Conference - South,22.9
Pac-12 Conference - North,22.7
Mountain West Conference - Mountain,22.5
Independent,22.0
American Athletic Conference - West,20.4
Mountain West Conference - West,19.5
Conference USA - West,17.7
Mid-American Conference - West,17.0
Mid-American Conference - East,16.8
Conference USA - East,13.5
Sun Belt Conference - West,11.8
FCS,0.3
