Division,Score
Southeastern Conference - West,38.7
Big Ten Conference - East,36.9
Southeastern Conference - East,33.0
Atlantic Coast Conference - Atlantic,31.2
Big 12 Conference,30.0
Atlantic Coast Conference - Coastal,28.3
Big Ten Conference - West,25.8
American Athletic Conference - East,25.2
Sun Belt Conference - East,24.4
Pac-12 Conference - South,23.4
Pac-12 Conference - North,23.0
Independent,21.8
Mountain West Conference - Mountain,20.7
American Athletic Conference - West,20.4
Mountain West Conference - West,19.1
Mid-American Conference - West,17.0
Conference USA - West,16.1
Mid-American Conference - East,13.7
Conference USA - East,13.0
Sun Belt Conference - West,9.2
FCS,0.1
