Division,Score
Southeastern Conference - West,40.5
Southeastern Conference - East,39.8
Big Ten Conference - East,34.1
Atlantic Coast Conference - Atlantic,33.0
Big 12 Conference,28.2
Sun Belt Conference - East,26.8
Atlantic Coast Conference - Coastal,26.5
Pac-12 Conference - North,26.3
Big Ten Conference - West,26.1
American Athletic Conference - East,26.1
Independent,25.1
Mountain West Conference - Mountain,24.2
Pac-12 Conference - South,20.7
American Athletic Conference - West,20.6
Mountain West Conference - West,19.8
Mid-American Conference - West,17.6
Mid-American Conference - East,17.3
Conference USA - East,16.6
Conference USA - West,15.4
Sun Belt Conference - West,13.5
FCS,0.4
