Division,Score
Southeastern Conference - West,42.3
Southeastern Conference - East,40.4
Atlantic Coast Conference - Atlantic,34.4
Big Ten Conference - East,33.7
Big 12 Conference,28.8
Sun Belt Conference - East,28.1
Big Ten Conference - West,27.3
Atlantic Coast Conference - Coastal,26.9
Pac-12 Conference - North,26.6
Independent,26.5
American Athletic Conference - East,25.1
Mountain West Conference - Mountain,24.9
Pac-12 Conference - South,21.1
Mountain West Conference - West,19.9
American Athletic Conference - West,19.4
Conference USA - East,18.3
Mid-American Conference - East,17.7
Conference USA - West,17.0
Mid-American Conference - West,16.8
Sun Belt Conference - West,14.1
FCS,0.5
