Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
Alabama,1,2,1,81.5,81.0,14.3
Clemson,2,1,-1,77.1,75.9,19.5
Michigan,3,3,0,63.8,67.1,13.8
Georgia,4,5,1,63.1,66.2,11.8
Oklahoma,5,4,-1,59.5,61.6,11.0
NotreDame,6,9,3,54.8,49.9,8.4
UCF,7,7,0,50.5,45.6,9.7
OhioState,8,13,5,49.9,49.4,11.5
UtahState,9,6,-3,49.8,49.3,13.4
Cincinnati,10,8,-2,49.7,49.2,17.2
WestVirginia,11,16,5,49.2,49.9,11.8
LSU,12,18,6,47.4,52.3,11.2
Army,13,12,-1,46.0,50.4,13.0
AppalachianState,14,14,0,43.9,49.4,16.9
PennState,15,19,4,43.6,53.8,14.7
UAB,16,11,-5,42.0,39.5,16.3
FresnoState,17,10,-7,41.8,44.5,9.0
MississippiState,18,15,-3,41.6,58.8,10.9
TexasAM,19,23,4,41.1,57.9,12.0
Kentucky,20,17,-3,40.0,48.1,17.7
Florida,21,36,15,39.5,47.4,18.1
Syracuse,22,20,-2,39.5,41.2,8.8
BoiseState,23,27,4,38.2,39.5,6.9
Missouri,24,30,6,38.1,52.6,12.2
GeorgiaTech,25,29,4,37.9,52.3,11.3
Utah,26,26,0,37.6,44.5,13.8
Buffalo,27,35,8,36.9,33.0,11.5
IowaState,28,32,4,35.4,43.5,10.7
Texas,29,43,14,35.2,40.6,8.7
Iowa,30,21,-9,35.0,47.3,10.6
BostonCollege,31,24,-7,34.9,40.3,4.7
Washington,32,34,2,34.5,39.6,8.0
Wisconsin,33,22,-11,33.9,45.4,8.9
MichiganState,34,25,-9,33.5,44.7,5.8
Auburn,35,38,3,33.3,44.3,6.6
WashingtonState,36,45,9,33.2,28.2,7.9
Duke,37,47,10,32.1,35.8,6.6
Troy,38,42,4,32.0,30.8,8.3
Pittsburgh,39,53,14,31.5,41.1,9.7
Houston,40,31,-9,31.0,34.2,11.6
Virginia,41,49,8,30.8,33.8,9.5
NorthCarolinaState,42,28,-14,29.6,34.1,15.2
SouthCarolina,43,39,-4,29.5,40.7,12.6
Memphis,44,48,4,29.2,37.0,4.0
NorthernIllinois,45,51,6,29.0,31.1,13.5
MiamiFL,46,46,0,28.9,43.8,11.3
NorthTexas,47,37,-10,28.6,30.4,9.9
GeorgiaSouthern,48,33,-15,27.9,29.4,13.4
Northwestern,49,58,9,27.9,34.8,6.1
Purdue,50,40,-10,27.9,41.8,9.9
TexasTech,51,50,-1,27.8,41.5,15.4
