Division,Score
Southeastern Conference - West,45.6
Big Ten Conference - East,42.1
Southeastern Conference - East,37.7
Atlantic Coast Conference - Atlantic,37.4
Big 12 Conference,36.0
Atlantic Coast Conference - Coastal,34.9
Pac-12 Conference - North,32.3
Big Ten Conference - West,29.8
Independent,26.4
American Athletic Conference - West,26.0
American Athletic Conference - East,25.7
Sun Belt Conference - East,24.8
Pac-12 Conference - South,24.8
Mountain West Conference - Mountain,24.6
Mountain West Conference - West,24.3
Mid-American Conference - West,19.4
Conference USA - West,18.9
Mid-American Conference - East,17.6
Conference USA - East,17.5
Sun Belt Conference - West,16.3
FCS,0.9
