Division,Score
Southeastern Conference - West,41.9
Southeastern Conference - East,39.2
Atlantic Coast Conference - Atlantic,34.2
Big Ten Conference - East,33.3
Big 12 Conference,30.1
Sun Belt Conference - East,28.2
Big Ten Conference - West,28.1
Pac-12 Conference - North,26.8
Independent,26.7
Atlantic Coast Conference - Coastal,26.7
Mountain West Conference - Mountain,25.1
American Athletic Conference - East,24.6
Pac-12 Conference - South,20.8
Mountain West Conference - West,20.0
American Athletic Conference - West,19.4
Conference USA - East,18.4
Mid-American Conference - East,17.8
Conference USA - West,17.2
Mid-American Conference - West,16.9
Sun Belt Conference - West,14.2
FCS,0.5
