Division,Score
Big Ten Conference - East,42.8
Southeastern Conference - West,41.6
Southeastern Conference - East,38.6
Atlantic Coast Conference - Atlantic,36.7
Big 12 Conference,34.4
Atlantic Coast Conference - Coastal,31.8
Pac-12 Conference - North,29.1
Sun Belt Conference - East,28.6
Big Ten Conference - West,26.7
American Athletic Conference - East,26.5
American Athletic Conference - West,25.9
Independent,25.0
Pac-12 Conference - South,24.9
Mountain West Conference - West,24.0
Mountain West Conference - Mountain,21.4
Conference USA - West,19.4
Mid-American Conference - West,18.9
Mid-American Conference - East,16.2
Conference USA - East,15.5
Sun Belt Conference - West,11.1
FCS,0.7
