Division,Score
Atlantic Coast Conference - Atlantic,32.5
Big Ten Conference - East,32.2
Southeastern Conference - West,30.3
Big Ten Conference - West,28.2
Atlantic Coast Conference - Coastal,27.6
Big 12 Conference,26.7
American Athletic Conference - West,24.8
Pac-12 Conference - North,24.7
Independent,24.2
Southeastern Conference - East,24.1
Pac-12 Conference - South,23.6
Mountain West Conference - Mountain,21.7
American Athletic Conference - East,18.7
Mid-American Conference - West,18.2
Sun Belt Conference - East,16.1
Mountain West Conference - West,16.0
Mid-American Conference - East,15.2
Conference USA - East,14.9
Conference USA - West,14.2
Sun Belt Conference - West,10.7
FCS,2.9
