Conference,Score
Southeastern Conference,39.8
Big Ten Conference,29.9
Big 12 Conference,29.5
Atlantic Coast Conference,28.6
Pac-12 Conference,24.0
American Athletic Conference,23.5
Independent,23.3
Mountain West Conference,21.4
Sun Belt Conference,19.6
Mid-American Conference,17.3
Conference USA,16.4
FCS,0.3
