Conference,Score
Southeastern Conference,41.7
Atlantic Coast Conference,36.2
Big 12 Conference,36.0
Big Ten Conference,35.9
Pac-12 Conference,28.5
Independent,26.4
American Athletic Conference,25.9
Mountain West Conference,24.4
Sun Belt Conference,20.6
Mid-American Conference,18.5
Conference USA,18.2
FCS,0.9
