Division,Score
Southeastern Conference - West,45.8
Big Ten Conference - East,40.4
Atlantic Coast Conference - Coastal,36.1
Big Ten Conference - West,36.0
Atlantic Coast Conference - Atlantic,36.0
Independent,33.6
Southeastern Conference - East,33.0
Pac-12 Conference - North,32.5
Big 12 Conference,31.8
Pac-12 Conference - South,31.2
Mountain West Conference - Mountain,28.0
American Athletic Conference - West,27.9
Mountain West Conference - West,25.8
Mid-American Conference - West,24.2
Conference USA - West,21.5
American Athletic Conference - East,20.9
Conference USA - East,19.0
Sun Belt Conference - East,18.7
Sun Belt Conference - West,17.2
Mid-American Conference - East,17.2
FCS,2.1
