Division,Score
Southeastern Conference - West,43.3
Southeastern Conference - East,40.1
Atlantic Coast Conference - Atlantic,33.9
Big Ten Conference - East,33.8
Big 12 Conference,29.4
Sun Belt Conference - East,28.3
Big Ten Conference - West,27.9
Pac-12 Conference - North,27.1
Independent,26.7
Atlantic Coast Conference - Coastal,26.6
American Athletic Conference - East,25.1
Mountain West Conference - Mountain,25.1
Pac-12 Conference - South,20.7
Mountain West Conference - West,20.0
American Athletic Conference - West,19.4
Conference USA - East,18.4
Mid-American Conference - East,17.8
Conference USA - West,17.2
Mid-American Conference - West,16.9
Sun Belt Conference - West,14.3
FCS,0.5
