Division,Score
Southeastern Conference - West,40.8
Southeastern Conference - East,40.1
Big Ten Conference - East,34.1
Atlantic Coast Conference - Atlantic,33.1
Big 12 Conference,28.3
Atlantic Coast Conference - Coastal,26.6
Pac-12 Conference - North,26.5
Sun Belt Conference - East,26.2
Big Ten Conference - West,26.2
American Athletic Conference - East,26.0
Independent,25.2
Mountain West Conference - Mountain,23.7
Pac-12 Conference - South,21.1
American Athletic Conference - West,20.1
Mountain West Conference - West,19.6
Mid-American Conference - West,18.0
Mid-American Conference - East,17.4
Conference USA - East,17.3
Conference USA - West,16.2
Sun Belt Conference - West,14.1
FCS,0.4
