Division,Score
Southeastern Conference - West,40.5
Southeastern Conference - East,38.5
Big Ten Conference - East,34.8
Atlantic Coast Conference - Atlantic,31.0
Big 12 Conference,30.3
Atlantic Coast Conference - Coastal,28.2
Big Ten Conference - West,26.5
American Athletic Conference - East,26.3
Sun Belt Conference - East,25.8
Pac-12 Conference - North,25.8
Mountain West Conference - Mountain,23.8
Independent,23.7
Pac-12 Conference - South,22.3
American Athletic Conference - West,21.0
Mountain West Conference - West,19.7
Mid-American Conference - West,17.5
Conference USA - East,16.9
Mid-American Conference - East,16.9
Conference USA - West,16.5
Sun Belt Conference - West,13.4
FCS,0.4
