Division,Score
Big Ten Conference - East,37.4
Southeastern Conference - West,37.2
Southeastern Conference - East,34.3
Atlantic Coast Conference - Atlantic,30.8
Big 12 Conference,29.9
Atlantic Coast Conference - Coastal,28.5
Big Ten Conference - West,25.4
Sun Belt Conference - East,25.2
American Athletic Conference - East,24.5
Pac-12 Conference - North,23.6
Pac-12 Conference - South,22.2
American Athletic Conference - West,20.7
Mountain West Conference - Mountain,20.5
Independent,20.4
Mountain West Conference - West,19.6
Mid-American Conference - West,16.0
Conference USA - West,14.9
Mid-American Conference - East,13.5
Conference USA - East,12.4
Sun Belt Conference - West,7.5
FCS,0.1
