Division,Score
Southeastern Conference - West,41.2
Southeastern Conference - East,40.5
Big Ten Conference - East,34.5
Atlantic Coast Conference - Atlantic,33.8
Big 12 Conference,28.7
Sun Belt Conference - East,27.7
Atlantic Coast Conference - Coastal,27.0
Independent,26.9
Pac-12 Conference - North,26.8
Big Ten Conference - West,26.5
American Athletic Conference - East,25.7
Mountain West Conference - Mountain,24.7
Pac-12 Conference - South,21.0
Mountain West Conference - West,19.6
American Athletic Conference - West,19.3
Conference USA - East,18.1
Mid-American Conference - East,17.5
Mid-American Conference - West,16.7
Conference USA - West,16.7
Sun Belt Conference - West,14.0
FCS,0.5
