Division,Score
Southeastern Conference - West,39.9
Southeastern Conference - East,39.6
Big Ten Conference - East,33.6
Atlantic Coast Conference - Atlantic,31.4
Big 12 Conference,29.5
American Athletic Conference - East,26.3
Pac-12 Conference - North,26.2
Big Ten Conference - West,26.1
Atlantic Coast Conference - Coastal,25.8
Sun Belt Conference - East,25.4
Mountain West Conference - Mountain,23.7
Independent,23.3
Pac-12 Conference - South,21.8
American Athletic Conference - West,20.7
Mountain West Conference - West,19.2
Conference USA - East,17.4
Mid-American Conference - West,17.4
Mid-American Conference - East,17.2
Conference USA - West,15.4
Sun Belt Conference - West,13.8
FCS,0.3
