Conference,Score
Southeastern Conference,42.5
Big Ten Conference,36.7
Big 12 Conference,36.4
Atlantic Coast Conference,35.9
Pac-12 Conference,28.7
American Athletic Conference,27.1
Independent,26.0
Mountain West Conference,24.2
Sun Belt Conference,21.6
Mid-American Conference,19.0
Conference USA,18.9
FCS,1.0
