Division,Score
Southeastern Conference - West,39.8
Southeastern Conference - East,36.3
Big Ten Conference - East,34.4
Atlantic Coast Conference - Atlantic,30.8
Big 12 Conference,29.7
Atlantic Coast Conference - Coastal,26.4
American Athletic Conference - East,25.2
Big Ten Conference - West,25.1
Sun Belt Conference - East,25.1
Pac-12 Conference - North,23.4
Mountain West Conference - Mountain,23.0
Independent,22.4
Pac-12 Conference - South,22.0
American Athletic Conference - West,19.7
Mountain West Conference - West,18.7
Mid-American Conference - West,16.6
Mid-American Conference - East,16.5
Conference USA - West,16.1
Conference USA - East,14.6
Sun Belt Conference - West,12.6
FCS,0.2
