Conference,Score
Southeastern Conference,40.7
Big Ten Conference,40.1
Atlantic Coast Conference,35.7
Big 12 Conference,34.5
Pac-12 Conference,31.7
Independent,25.6
American Athletic Conference,25.2
Mountain West Conference,24.6
Sun Belt Conference,21.6
Mid-American Conference,19.8
Conference USA,17.0
FCS,1.2
