Division,Score
Big Ten Conference - East,45.2
Southeastern Conference - West,45.0
Southeastern Conference - East,40.0
Atlantic Coast Conference - Atlantic,37.5
Big 12 Conference,36.4
Atlantic Coast Conference - Coastal,34.4
Pac-12 Conference - North,31.6
Big Ten Conference - West,28.2
Sun Belt Conference - East,27.9
American Athletic Conference - West,27.4
American Athletic Conference - East,26.9
Independent,26.0
Pac-12 Conference - South,25.9
Mountain West Conference - Mountain,24.3
Mountain West Conference - West,24.1
Conference USA - West,21.0
Mid-American Conference - West,19.8
Mid-American Conference - East,18.2
Conference USA - East,16.8
Sun Belt Conference - West,15.4
FCS,1.0
