Conference,Score
Southeastern Conference,38.0
Big Ten Conference,29.8
Big 12 Conference,29.7
Atlantic Coast Conference,28.6
Pac-12 Conference,22.7
American Athletic Conference,22.5
Independent,22.4
Mountain West Conference,20.8
Sun Belt Conference,18.8
Mid-American Conference,16.5
Conference USA,15.3
FCS,0.2
