Division,Score
Southeastern Conference - West,42.4
Southeastern Conference - East,37.5
Big Ten Conference - East,34.7
Big 12 Conference,31.0
Atlantic Coast Conference - Atlantic,31.0
Atlantic Coast Conference - Coastal,28.6
Big Ten Conference - West,28.1
Sun Belt Conference - East,28.0
American Athletic Conference - East,25.4
Pac-12 Conference - North,24.0
Pac-12 Conference - South,23.2
Independent,22.0
Mountain West Conference - Mountain,21.8
Mountain West Conference - West,20.2
American Athletic Conference - West,19.8
Mid-American Conference - West,18.3
Conference USA - West,17.7
Mid-American Conference - East,15.6
Conference USA - East,14.2
Sun Belt Conference - West,11.5
FCS,0.3
