Division,Score
Southeastern Conference - West,45.5
Big Ten Conference - East,44.1
Atlantic Coast Conference - Atlantic,37.5
Big Ten Conference - West,36.2
Southeastern Conference - East,35.8
Big 12 Conference,34.5
Pac-12 Conference - North,34.2
Atlantic Coast Conference - Coastal,33.9
Pac-12 Conference - South,29.2
American Athletic Conference - West,27.6
Mountain West Conference - Mountain,27.0
Independent,25.6
Sun Belt Conference - East,25.0
American Athletic Conference - East,22.8
Mountain West Conference - West,22.1
Mid-American Conference - West,21.6
Sun Belt Conference - West,18.2
Conference USA - West,18.1
Mid-American Conference - East,18.0
Conference USA - East,15.9
FCS,1.2
