Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,5,6,1,55.1,15.1,7.2
florida,11,15,4,48.6,6.1,8.2
kentucky,7,12,5,52.9,12.0,9.0
missouri,30,50,20,36.4,6.0,4.0
south-carolina,45,55,10,30.7,0.6,4.2
vanderbilt,81,82,1,18.6,-16.2,8.4
tennessee,75,74,-1,20.5,-15.7,8.9
alabama,1,1,0,77.1,31.8,11.2
louisiana-state,6,8,2,54.6,12.1,3.9
texas-am,13,17,4,47.9,14.5,7.6
mississippi-state,24,18,-6,40.4,13.3,5.1
auburn,32,41,9,35.7,0.4,6.8
mississippi,55,54,-1,27.5,-13.5,6.3
arkansas,99,105,6,13.7,-19.5,7.4
oklahoma,4,7,3,55.9,16.1,8.1
texas,22,19,-3,41.0,-4.4,3.2
west-virginia,27,28,1,39.4,-4.4,4.2
iowa-state,47,49,2,29.8,-1.2,2.4
baylor,70,69,-1,21.4,-21.5,7.4
texas-christian,61,45,-16,24.6,-6.7,3.2
oklahoma-state,50,48,-2,28.7,-8.0,5.8
kansas-state,82,79,-3,18.4,-20.3,9.4
texas-tech,26,30,4,39.5,1.4,8.8
kansas,104,103,-1,11.6,-28.8,14.4
ohio-state,14,3,-11,47.8,3.0,9.4
michigan,3,4,1,61.3,21.0,6.8
penn-state,15,10,-5,47.5,13.9,8.7
michigan-state,44,29,-15,30.7,-4.5,3.1
maryland,49,34,-15,29.5,-6.7,5.9
indiana,66,64,-2,23.0,-14.7,4.1
rutgers,122,122,0,3.4,-47.1,14.7
northwestern,63,63,0,24.2,-16.4,6.0
iowa,10,14,4,48.6,6.1,4.6
wisconsin,19,24,5,41.9,5.1,6.4
purdue,35,52,17,34.9,3.3,4.2
minnesota,76,61,-15,19.9,-17.0,4.8
nebraska,100,110,10,13.7,-10.5,6.6
illinois,101,92,-9,13.5,-31.1,9.3
clemson,2,2,0,70.2,25.0,9.7
syracuse,36,35,-1,34.7,-6.2,4.7
north-carolina-state,33,26,-7,35.5,-10.0,9.9
boston-college,41,36,-5,32.7,-9.3,6.0
wake-forest,93,77,-16,15.0,-27.7,7.2
florida-state,71,75,4,21.0,-22.3,9.0
louisville,111,109,-2,7.6,-39.8,13.4
pittsburgh,77,73,-4,19.8,-17.1,5.5
georgia-tech,53,47,-6,27.9,0.6,4.7
virginia,34,53,19,34.9,-5.8,5.6
miami-fl,20,22,2,41.5,4.4,6.2
virginia-tech,48,43,-5,29.5,-11.5,5.7
duke,31,16,-15,36.0,-4.1,5.2
north-carolina,107,106,-1,10.3,-26.5,10.6
washington,28,27,-1,39.2,-1.9,3.7
washington-state,51,58,7,28.5,-21.6,6.7
stanford,57,59,2,26.0,-19.9,7.1
oregon,52,38,-14,28.0,-16.7,5.4
california,80,93,13,19.3,-25.3,7.3
oregon-state,124,119,-5,2.9,-50.1,12.2
utah,29,33,4,37.2,-2.3,4.3
arizona-state,74,60,-14,20.5,-15.6,5.1
arizona,98,90,-8,14.3,-26.4,8.6
southern-california,69,62,-7,21.4,-21.5,6.9
ucla,94,101,7,14.9,-19.7,9.0
colorado,43,39,-4,30.8,-12.3,6.5
massachusetts,119,120,1,4.3,-47.8,13.0
new-mexico-state,129,127,-2,0.4,-59.6,18.3
liberty,105,98,-7,11.1,-40.4,20.7
army,17,20,3,43.6,7.8,5.0
brigham-young,68,76,8,21.5,-21.3,7.9
notre-dame,9,5,-4,51.3,2.0,6.5
central-florida,12,11,-1,48.1,-1.9,3.6
temple,59,68,9,24.9,-18.1,13.0
cincinnati,16,13,-3,45.1,1.3,11.8
south-florida,56,42,-14,26.3,-28.6,7.9
east-carolina,113,113,0,6.8,-42.1,14.7
connecticut,128,128,0,1.0,-56.9,15.9
houston,23,25,2,40.9,-4.5,5.1
memphis,60,51,-9,24.7,-11.3,4.5
