Division,Score
Southeastern Conference - West,40.9
Southeastern Conference - East,37.0
Big Ten Conference - East,35.0
Atlantic Coast Conference - Atlantic,31.3
Big 12 Conference,30.4
Sun Belt Conference - East,27.0
Atlantic Coast Conference - Coastal,26.9
Big Ten Conference - West,26.4
American Athletic Conference - East,24.9
Pac-12 Conference - South,22.8
Pac-12 Conference - North,22.6
Independent,22.0
Mountain West Conference - Mountain,21.6
Mountain West Conference - West,19.8
American Athletic Conference - West,19.6
Conference USA - West,17.1
Mid-American Conference - West,17.0
Mid-American Conference - East,16.3
Conference USA - East,13.8
Sun Belt Conference - West,10.8
FCS,0.2
