Conference,Score
Big Ten Conference,33.9
Big 12 Conference,33.4
Southeastern Conference,31.8
Big East Conference,30.5
Pacific-10 Conference,28.8
Atlantic Coast Conference,28.7
Mountain West Conference,26.4
Independent,21.6
Conference USA,19.1
Mid-American Conference,17.9
Western Athletic Conference,14.0
Sun Belt Conference,9.4
FCS,1.3
