Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,17,7,-10,40.7,36.2,12.5
tennessee,16,15,-1,40.8,33.0,9.9
florida,26,26,0,35.6,35.5,11.7
south-carolina,66,63,-3,17.8,19.3,9.3
kentucky,79,79,0,12.4,11.8,7.3
vanderbilt,93,92,-1,7.4,8.1,6.1
louisiana-state,3,2,-1,58.0,49.0,15.0
mississippi,19,19,0,39.5,36.1,15.5
auburn,29,28,-1,34.0,39.1,13.0
arkansas,18,18,0,40.2,42.9,13.3
alabama,68,68,0,17.4,28.0,10.4
mississippi-state,101,101,0,4.8,-2.1,3.2
florida-state,8,8,0,48.4,43.1,12.2
maryland,20,20,0,39.4,36.0,9.9
clemson,36,33,-3,30.1,26.7,11.4
north-carolina-state,50,49,-1,25.3,23.7,7.3
virginia,47,47,0,26.4,25.6,8.5
georgia-tech,56,55,-1,22.6,23.8,9.8
wake-forest,60,58,-2,19.4,23.0,8.5
duke,81,81,0,12.2,11.1,7.2
north-carolina,95,95,0,6.5,4.4,6.7
michigan,6,5,-1,52.1,48.1,13.5
ohio-state,12,13,1,43.7,36.9,11.0
purdue,15,16,1,41.0,38.2,12.2
iowa,13,14,1,42.7,40.7,11.4
minnesota,9,9,0,48.4,49.0,15.9
michigan-state,34,35,1,30.3,27.2,13.7
wisconsin,32,32,0,30.9,33.5,10.5
northwestern,55,57,2,22.8,24.1,13.0
penn-state,82,82,0,11.8,16.3,9.1
indiana,97,97,0,5.7,1.6,7.7
illinois,104,103,-1,4.2,1.0,5.3
kansas-state,5,10,5,52.4,51.1,13.5
nebraska,14,17,3,41.4,38.8,12.3
missouri,30,31,1,33.0,31.5,10.1
kansas,67,69,2,17.4,13.5,13.9
colorado,73,73,0,15.7,14.6,7.8
iowa-state,103,104,1,4.2,-4.6,5.7
oklahoma,1,1,0,62.1,54.0,16.0
texas,4,4,0,53.5,49.9,13.3
oklahoma-state,23,24,1,37.2,32.8,12.5
texas-tech,52,52,0,24.6,22.4,7.9
texas-am,83,84,1,11.0,7.8,7.1
baylor,107,107,0,3.7,-9.6,6.8
southern-california,2,3,1,58.7,50.9,14.1
washington-state,24,25,1,36.4,31.6,9.9
oregon,42,41,-1,27.4,22.4,7.5
california,38,38,0,29.0,33.4,9.9
oregon-state,41,36,-5,27.6,27.7,8.7
washington,65,66,1,18.1,14.8,6.8
ucla,63,61,-2,18.5,15.6,6.4
arizona-state,76,75,-1,14.9,12.8,6.3
stanford,85,85,0,10.6,5.2,6.6
arizona,100,100,0,5.2,-0.5,7.7
miami-fl,11,12,1,45.2,38.9,11.3
west-virginia,28,30,2,34.4,33.6,10.3
pittsburgh,51,51,0,25.1,18.7,7.6
virginia-tech,27,29,2,34.7,34.2,11.8
boston-college,45,45,0,27.1,26.8,8.1
syracuse,57,60,3,22.4,23.4,9.6
rutgers,75,76,1,15.3,13.5,14.3
temple,106,106,0,3.8,-1.2,4.9
utah,22,22,0,37.4,29.6,11.1
new-mexico,21,21,0,37.8,39.0,12.8
colorado-state,39,40,1,27.9,28.1,10.0
air-force,37,37,0,29.5,31.0,9.9
san-diego-state,62,64,2,18.7,16.0,9.4
brigham-young,78,78,0,13.0,13.2,8.3
nevada-las-vegas,59,59,0,19.5,17.6,7.3
wyoming,89,89,0,8.7,1.7,11.4
connecticut,43,43,0,27.3,18.3,6.3
navy,35,39,4,30.2,26.9,10.6
troy,71,71,0,16.6,11.9,6.9
notre-dame,58,53,-5,20.7,26.0,8.9
southern-mississippi,48,48,0,26.0,16.5,10.5
texas-christian,25,27,2,36.0,23.0,7.9
louisville,40,42,2,27.7,18.9,7.3
memphis,44,44,0,27.1,22.0,11.8
south-florida,61,62,1,19.1,10.4,7.8
houston,72,72,0,15.8,6.8,4.2
alabama-birmingham,84,83,-1,10.7,3.2,11.3
tulane,96,96,0,6.3,-7.0,4.9
cincinnati,77,77,0,13.7,10.0,8.1
east-carolina,113,112,-1,2.0,-10.6,6.0
army,118,118,0,0.0,-21.4,9.1
boise-state,10,11,1,46.3,34.9,10.4
fresno-state,64,65,1,18.2,9.6,5.4
tulsa,53,54,1,23.9,16.8,16.8
hawaii,69,67,-2,17.2,7.9,4.8
rice,74,74,0,15.5,14.1,8.5
nevada,80,80,0,12.4,3.5,7.2
louisiana-tech,88,88,0,8.9,-0.9,7.1
san-jose-state,109,108,-1,3.6,-10.6,4.2
texas-el-paso,112,113,1,2.1,-12.5,14.0
southern-methodist,116,116,0,1.0,-13.6,5.3
miami-oh,7,6,-1,49.2,38.4,15.5
marshall,49,50,1,25.5,19.4,7.0
akron,70,70,0,16.8,8.5,9.6
kent-state,90,90,0,8.4,-2.3,5.1
central-florida,110,110,0,3.1,-11.4,7.2
ohio,98,98,0,5.6,0.9,5.1
buffalo,115,115,0,1.1,-15.4,9.4
bowling-green-state,31,23,-8,32.4,24.5,10.2
northern-illinois,46,46,0,26.7,14.3,6.2
toledo,54,56,2,23.2,15.7,5.9
western-michigan,91,91,0,7.8,-3.5,3.8
ball-state,99,99,0,5.3,-7.2,4.1
eastern-michigan,111,111,0,2.2,-14.4,9.4
central-michigan,108,109,1,3.6,-9.8,2.3
north-texas,33,34,1,30.6,23.1,7.8
louisiana-lafayette,105,105,0,4.0,-10.7,5.0
arkansas-state,94,94,0,7.2,-4.8,7.8
middle-tennessee-state,87,87,0,9.0,2.7,5.3
utah-state,92,93,1,7.8,3.5,9.5
