Conference,Score
Big Ten Conference,30.3
Big 12 Conference,29.4
Southeastern Conference,29.0
Big East Conference,26.0
Atlantic Coast Conference,25.9
Pacific-10 Conference,24.6
Mountain West Conference,23.9
Independent,23.7
Conference USA,16.8
Mid-American Conference,15.1
Western Athletic Conference,14.9
Sun Belt Conference,9.0
FCS,0.5
