Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,17,17,0,40.5,36.6,12.1
tennessee,16,16,0,40.7,33.4,9.3
florida,24,26,2,35.4,35.9,11.0
south-carolina,66,66,0,17.7,19.7,8.9
kentucky,79,79,0,12.4,12.2,7.0
vanderbilt,93,93,0,7.4,8.6,5.9
louisiana-state,3,3,0,57.8,49.4,14.4
mississippi,20,20,0,39.4,36.4,14.8
auburn,27,29,2,33.9,39.5,12.3
arkansas,18,18,0,40.0,43.1,12.6
alabama,68,67,-1,17.3,28.3,10.2
mississippi-state,101,101,0,4.8,-1.6,3.7
florida-state,8,8,0,48.4,43.7,11.5
maryland,19,19,0,39.4,36.5,9.4
clemson,36,34,-2,30.1,27.3,11.0
north-carolina-state,45,44,-1,27.1,25.2,6.9
virginia,41,47,6,27.8,26.4,8.0
georgia-tech,55,55,0,22.6,24.4,9.3
wake-forest,59,59,0,19.5,23.7,8.3
duke,80,81,1,12.3,11.8,6.9
north-carolina,95,95,0,6.5,5.1,6.3
michigan,5,6,1,52.2,48.7,12.7
ohio-state,12,12,0,43.7,37.4,10.3
purdue,14,15,1,40.9,38.7,11.5
iowa,13,13,0,42.6,41.1,10.7
minnesota,9,9,0,48.3,49.4,15.1
michigan-state,35,33,-2,30.2,27.6,13.0
wisconsin,33,32,-1,30.8,34.0,9.9
northwestern,57,56,-1,21.9,25.7,12.4
penn-state,82,82,0,11.7,16.8,8.9
indiana,97,97,0,5.7,2.2,7.2
illinois,103,103,0,4.2,1.5,6.0
kansas-state,6,5,-1,51.9,51.1,12.8
nebraska,15,14,-1,40.9,38.7,11.6
missouri,28,30,2,32.6,31.3,9.5
kansas,71,72,1,15.6,12.3,13.1
colorado,72,73,1,15.5,14.5,7.5
iowa-state,104,104,0,4.0,-4.7,7.0
oklahoma,1,1,0,61.6,54.0,15.1
texas,4,4,0,53.1,49.9,12.7
oklahoma-state,21,23,2,36.7,32.5,11.8
texas-tech,51,52,1,24.1,22.1,7.4
texas-am,85,83,-2,10.7,7.6,7.7
baylor,107,108,1,3.5,-9.8,6.4
southern-california,2,2,0,59.0,51.8,13.3
washington-state,23,24,1,36.5,32.2,9.4
oregon,42,43,1,27.7,23.5,7.1
california,34,37,3,30.7,34.4,9.5
oregon-state,32,41,9,31.6,32.9,8.2
washington,63,65,2,18.3,15.8,6.6
ucla,62,63,1,18.5,16.2,6.3
arizona-state,75,76,1,15.2,13.8,6.0
stanford,83,85,2,10.8,6.3,7.3
arizona,99,100,1,5.4,0.7,7.3
miami-fl,11,11,0,45.0,39.2,10.7
west-virginia,26,28,2,34.2,34.0,9.7
pittsburgh,53,51,-2,23.2,18.6,7.6
virginia-tech,29,27,-2,32.4,34.3,11.2
boston-college,46,45,-1,26.9,27.0,7.6
syracuse,56,57,1,22.2,23.6,9.1
rutgers,76,75,-1,15.1,13.7,13.9
temple,106,106,0,3.7,-0.9,5.0
utah,22,22,0,36.5,28.9,10.5
new-mexico,30,21,-9,32.3,34.0,12.2
colorado-state,43,40,-3,27.2,27.5,9.5
air-force,38,36,-2,28.8,30.4,9.5
san-diego-state,65,62,-3,18.1,15.3,9.0
brigham-young,78,78,0,12.5,12.6,7.9
nevada-las-vegas,61,60,-1,18.8,16.8,6.9
wyoming,90,89,-1,8.1,0.7,10.7
connecticut,44,42,-2,27.2,18.7,6.0
navy,37,35,-2,30.1,27.3,10.3
troy,70,70,0,16.4,11.9,6.5
notre-dame,58,58,0,20.6,26.4,8.4
southern-mississippi,48,49,1,26.2,17.2,10.0
texas-christian,25,25,0,35.0,24.9,7.4
louisville,49,48,-1,26.1,19.5,6.9
memphis,39,38,-1,28.5,23.1,11.4
south-florida,60,61,1,19.1,11.1,7.4
houston,74,71,-3,15.2,7.8,4.0
alabama-birmingham,84,84,0,10.8,3.9,10.7
tulane,96,96,0,6.4,-6.3,4.7
cincinnati,77,77,0,13.8,10.6,8.8
east-carolina,111,113,2,2.1,-9.9,5.7
army,118,118,0,0.0,-20.8,8.6
boise-state,10,10,0,45.7,34.0,9.8
fresno-state,64,64,0,18.1,9.9,5.1
tulsa,52,53,1,23.6,16.8,16.1
hawaii,67,68,1,17.4,7.7,4.5
rice,73,74,1,15.4,14.3,9.1
nevada,81,80,-1,12.2,3.5,6.8
louisiana-tech,88,88,0,8.7,-0.9,6.9
san-jose-state,108,109,1,3.5,-10.5,4.1
texas-el-paso,113,112,-1,2.0,-12.5,13.2
southern-methodist,116,116,0,0.9,-13.5,5.1
miami-oh,7,7,0,49.5,38.6,14.6
marshall,50,50,0,25.2,19.5,6.7
akron,69,69,0,16.6,8.6,9.1
kent-state,89,90,1,8.1,-2.3,4.8
central-florida,110,110,0,3.0,-11.3,7.4
ohio,98,98,0,5.5,1.0,5.0
buffalo,115,115,0,1.1,-15.2,8.8
bowling-green-state,31,31,0,31.9,23.4,10.1
northern-illinois,47,46,-1,26.3,14.2,6.2
toledo,54,54,0,22.7,15.5,5.6
western-michigan,91,91,0,7.6,-3.4,3.9
ball-state,100,99,-1,5.1,-7.3,4.5
eastern-michigan,112,111,-1,2.0,-14.4,9.0
central-michigan,109,107,-2,3.4,-9.8,3.1
north-texas,40,39,-1,28.0,22.5,7.3
louisiana-lafayette,105,105,0,3.9,-10.6,4.8
arkansas-state,94,94,0,7.0,-4.8,8.0
middle-tennessee-state,87,87,0,8.8,2.7,5.1
utah-state,92,92,0,7.4,2.9,9.0
idaho,102,102,0,4.4,-6.8,4.8
new-mexico-state,86,86,0,9.7,10.2,5.5
louisiana-monroe,114,114,0,1.2,-14.3,6.7
fcs,117,117,0,0.4,-18.0,6.1
