Conference,Score
Southeastern Conference,31.2
Big Ten Conference,30.7
Big 12 Conference,30.1
Big East Conference,26.4
Pacific-10 Conference,25.6
Atlantic Coast Conference,24.9
Mountain West Conference,24.1
Independent,19.9
Conference USA,17.2
Mid-American Conference,15.4
Western Athletic Conference,13.7
Sun Belt Conference,9.3
FCS,0.3
