Conference,Score
Southeastern Conference,28.4
Big 12 Conference,27.9
Pacific-10 Conference,27.8
Big Ten Conference,27.3
Big East Conference,27.1
Atlantic Coast Conference,26.6
Independent,23.5
Mountain West Conference,20.2
Conference USA,18.7
Mid-American Conference,16.9
Western Athletic Conference,13.8
Sun Belt Conference,13.3
FCS,2.8
